"iso_code","iso_code_2","continent","region","income_level","country","location","date","epi_cases_total","epi_cases_total_100k","epi_cases_last_7_days","epi_cases_last_7_days_100k","epi_cases_last_24_hours","epi_deaths_total","epi_deaths_total_100k","epi_deaths_last_7_days","epi_deaths_last_7_days_100k","epi_deaths_last_24_hours","owd_total_cases","owd_new_cases","owd_new_cases_smoothed","owd_total_deaths","owd_new_deaths","owd_new_deaths_smoothed","owd_total_cases_per_million","owd_new_cases_per_million","owd_new_cases_smoothed_per_million","owd_total_deaths_per_million","owd_new_deaths_per_million","owd_new_deaths_smoothed_per_million","owd_reproduction_rate","owd_icu_patients","owd_icu_patients_per_million","owd_hosp_patients","owd_hosp_patients_per_million","owd_weekly_icu_admissions","owd_weekly_icu_admissions_per_million","owd_weekly_hosp_admissions","owd_weekly_hosp_admissions_per_million","owd_new_tests","owd_total_tests","owd_total_tests_per_thousand","owd_new_tests_per_thousand","owd_new_tests_smoothed","owd_new_tests_smoothed_per_thousand","owd_positive_rate","owd_tests_per_case","owd_tests_units","owd_total_vaccinations","owd_people_vaccinated","owd_people_fully_vaccinated","owd_total_boosters","owd_new_vaccinations","owd_new_vaccinations_smoothed","owd_total_vaccinations_per_hundred","owd_people_vaccinated_per_hundred","owd_people_fully_vaccinated_per_hundred","owd_total_boosters_per_hundred","owd_new_vaccinations_smoothed_per_million","owd_stringency_index","owd_population","owd_population_density","owd_median_age","owd_aged_65_older","owd_aged_70_older","owd_gdp_per_capita","owd_extreme_poverty","owd_cardiovasc_death_rate","owd_diabetes_prevalence","owd_female_smokers","owd_male_smokers","owd_handwashing_facilities","owd_hospital_beds_per_thousand","owd_life_expectancy","owd_human_development_index","owd_excess_mortality_cumulative_absolute","owd_excess_mortality_cumulative","owd_excess_mortality","owd_excess_mortality_cumulative_per_million","imf_covidsurge","imf_procurement","imf_totalsupplies","imf_fullyvacc","imf_delivery_max","imf_delivery_avg","imf_target_delivery","imf_diagnostics","imf_genomic","imf_delta","imf_vaccdelivery_gap","imf_diagnostics_gap","imf_genomic_gap","imf_expectedcoverage","imf_procurement_bilateral","imf_procurement_donation","imf_procurement_covax","imf_procurement_other","imf_expectedcoverage_gap","imf_expectedcoverage_gap_doses","imf_vacc_atleastone","imf_total_admin","imf_ratio_admin","imf_target_delivery_70","imf_procurement_gap_70","imf_procurement_gap_doses_70","imf_amc92","imf_archetype","imf_fullyvacc_population","imf_total_delivery","imf_total_administered","ivb_total_vaccination","ivb_persons_vaccinated_1plus_dose","ivb_total_vaccinations_per100","ivb_persons_vaccinated_1plus_dose_per100","ivb_persons_fully_vaccinated","ivb_persons_fully_vaccinated_per100","ivb_vaccines_used","ivb_first_vaccine_date","ivb_number_vaccines_types_used"
"BHS","BS","North America","AMRO","HIC","Bahamas","Bahamas",11/4/2021 0:00:00,22429.00,5703.58,78.00,19.83,0.00,643.00,163.51,0.00,0.00,0.00,22485.00,56.00,19.14,657.00,14.00,2.00,56649.55,141.08,48.22,1655.27,35.27,5.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396914.00,39.49,34.30,8.99,5.20,27717.84,,235.95,13.17,3.10,20.40,,2.90,73.92,0.81,,,,,0.50,83.00,43.79,30.95,0.87,0.38,0.28,0.80,0.00,,,0.20,5.00,48.00,0.00,53.00,20.00,10.00,22.00,0.20,33.31,32.13,73.36,0.31,0.00,0.00,0.00,"0 - High Income *",0.12,0.34,0.25,255085.00,132240.00,64.86,33.62,122845.00,31.23,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/14/2021 0:00:00,4.00
"BIH","BA","Europe","EURO","UMC","Bosnia and Herzegovina","Bosnia and Herzegovina",11/4/2021 0:00:00,257401.00,7845.64,5318.00,162.09,1094.00,11717.00,357.13,240.00,7.31,32.00,257401.00,1094.00,759.71,11717.00,32.00,34.28,78873.67,335.22,232.79,3590.36,9.80,10.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3263459.00,68.49,42.50,16.56,10.71,11713.89,0.20,329.63,10.08,30.20,47.70,97.16,3.50,77.40,0.78,,,,,0.76,51.00,24.94,20.89,1.14,1.14,0.62,0.61,0.15,100.00,,0.38,4.84,30.00,9.00,28.00,13.00,0.00,40.00,2.59,24.44,22.67,90.90,0.40,19.39,1.30,0.00,"3 - Leverage",0.68,1.62,1.47,1479596.00,797531.00,45.10,24.30,682048.00,20.78,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V",,4.00
"BLR","BY","Europe","EURO","UMC","Belarus","Belarus",11/4/2021 0:00:00,608031.00,6434.65,13828.00,146.33,1998.00,4696.00,49.69,116.00,1.22,17.00,608031.00,1998.00,1975.42,4696.00,17.00,16.57,64390.50,211.58,209.19,497.30,1.80,1.75,,,,,,,,,,,"9746810","1032.188",,"33001","3.495","0.06","16.7","tests performed",,,,,,,,,,,,,9442867.00,46.85,40.30,14.79,9.78,17167.96,,443.12,5.18,10.50,46.10,,11.00,74.79,0.82,,,,,1.05,29.00,27.76,21.25,0.54,0.44,0.52,3.49,9.99999977648258e-03,,0.07,,4.98,30.00,24.00,5.00,0.00,0.00,40.00,7.59,29.22,25.24,90.91,0.37,40.77,7.70,0.00,"3 - Leverage",2.00,5.24,4.76,4766181.00,2759758.00,50.40,29.20,2006423.00,21.23,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac",2/3/2021 0:00:00,2.00
"BLZ","BZ","North America","AMRO","LMC","Belize","Belize",11/4/2021 0:00:00,27523.00,6921.79,1097.00,275.88,218.00,499.00,125.49,10.00,2.51,0.00,27673.00,150.00,149.71,505.00,6.00,2.00,68342.73,370.44,369.74,1247.17,14.81,4.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404915.00,16.42,25.00,3.85,2.27,7824.36,,176.95,17.11,,,90.08,1.30,74.62,0.71,,,,,1.12,134.00,85.97,35.68,1.12,0.81,,3.91,1.17,0.00,,,3.81,80.00,0.00,77.00,20.00,37.00,,,49.38,42.54,49.47,0.23,0.00,0.00,0.00,"2 - Connect",0.14,0.69,0.34,384446.00,223812.00,96.68,56.28,196844.00,49.50,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/1/2021 0:00:00,5.00
"BOL","BO","South America","AMRO","LMC","Bolivia (Plurinational State of)","Bolivia",11/4/2021 0:00:00,515373.00,4415.07,3519.00,30.14,694.00,18942.00,162.27,31.00,0.26,6.00,515373.00,694.00,502.71,18942.00,6.00,4.42,43554.11,58.65,42.48,1600.78,0.50,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11832936.00,10.20,25.40,6.70,4.39,6885.82,7.10,204.29,6.89,,,25.38,1.10,71.51,0.71,,,,,0.40,82.00,72.88,32.81,5.09,0.18,0.15,0.45,0.02,,,0.55,4.96,83.00,49.00,3.00,30.00,0.00,,,38.72,31.81,43.63,0.28,0.00,0.00,1.00,"2 - Connect",3.88,17.25,7.52,7650591.00,4517851.00,65.54,38.70,4747619.00,40.67,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",1/30/2021 0:00:00,5.00
"BRA","BR","South America","AMRO","UMC","Brazil","Brazil",11/4/2021 0:00:00,21835785.00,10272.79,69617.00,32.75,14661.00,608235.00,286.14,1556.00,0.73,164.00,21849137.00,13352.00,9671.57,608671.00,436.00,229.00,102101.90,62.39,45.19,2844.34,2.03,1.07,,,,,,,,,,,,,,,,,,,277865826.00,160240241.00,122349304.00,8992567.00,,626287.00,129.85,74.88,57.17,4.20,2927.00,,213993441.00,25.04,33.50,8.55,5.06,14103.45,3.40,177.96,8.11,10.10,17.90,,2.20,75.88,0.76,,,,,0.23,117.00,79.87,57.16,1.72,0.44,,0.28,0.31,94.30,,0.72,4.67,108.00,113.00,1.00,2.00,0.00,,,74.87,64.92,81.27,0.02,0.00,0.00,0.00,"4 - Strengthen",122.34,341.83,277.84,263777530.00,156182462.00,124.09,73.47,117210789.00,55.14,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",1/17/2021 0:00:00,5.00
"BRB","BB","North America","AMRO","HIC","Barbados","Barbados",11/4/2021 0:00:00,18852.00,6560.07,2428.00,844.88,393.00,164.00,57.06,15.00,5.22,6.00,19188.00,336.00,343.71,167.00,3.00,2.28,66692.61,1167.85,1194.66,580.45,10.42,7.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287708.00,664.46,39.80,14.95,9.47,16978.06,,170.05,13.57,1.90,14.50,88.46,5.80,79.19,0.81,,,,,67.19,74.00,70.04,44.43,1.57,0.33,,6.40,0.41,0.00,,,4.57,71.00,5.00,49.00,20.00,0.00,,,51.90,48.17,68.76,0.18,0.00,0.00,0.00,"0 - High Income *",0.12,0.40,0.27,272021.00,147978.00,94.65,51.49,124043.00,43.16,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",2/10/2021 0:00:00,4.00
"BRN","BN","Asia","WPRO","HIC","Brunei Darussalam","Brunei",11/4/2021 0:00:00,13545.00,3096.14,722.00,165.03,99.00,55.00,12.57,2.00,0.45,1.00,13545.00,99.00,103.14,91.00,2.00,1.14,30677.27,224.21,233.60,206.10,4.53,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"79.63",441532.00,81.34,32.40,4.59,2.38,71809.25,,201.28,12.79,2.00,30.90,,2.70,75.86,0.83,,,,,33.00,108.00,75.66,61.68,1.78,0.64,,8.97,0.28,,,,4.71,99.00,57.00,40.00,11.00,0.00,,,80.16,70.92,93.72,,0.00,0.00,0.00,"0 - High Income *",0.27,0.66,0.62,614897.00,351091.00,140.55,80.25,252375.00,57.68,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",4/3/2021 0:00:00,5.00
"BTN","BT","Asia","SEARO","LMC","Bhutan","Bhutan",11/4/2021 0:00:00,2622.00,339.81,1.00,0.13,0.00,3.00,0.38,0.00,0.00,0.00,2622.00,0.00,0.14,3.00,0.00,0.00,3361.96,0.00,0.18,3.84,0.00,0.00,,,,,,,,,,"1619","1206141","1546.533","2.076","1510","1.936","0","10559.4","samples tested",,,,,,,,,,,,,779900.00,21.18,28.60,4.88,2.97,8708.59,1.50,217.06,9.75,,,79.80,1.70,71.78,0.65,,,,,0.00,98.00,98.62,71.77,12.47,0.75,,2.24,0.00,,,,5.00,105.00,0.00,66.00,32.00,0.00,,,75.43,73.61,74.63,,0.00,0.00,1.00,"2 - Connect",0.55,1.53,1.14,1148146.00,588307.00,148.79,76.24,559839.00,72.55,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",3/27/2021 0:00:00,5.00
"BWA","BW","Africa","AFRO","UMC","Botswana","Botswana",11/4/2021 0:00:00,192935.00,8204.32,6341.00,269.64,5654.00,2407.00,102.35,1.00,0.04,0.00,187281.00,0.00,98.14,2407.00,0.00,0.14,78123.59,0.00,40.94,1004.07,0.00,0.06,,,,,,,,,,,,,,,,,,,1028674.00,722374.00,306300.00,,,12108.00,42.91,30.13,12.78,,5051.00,,2397240.00,4.04,25.80,3.94,2.24,15807.37,,237.37,4.81,5.70,34.40,,1.80,69.59,0.73,,,,,0.00,88.00,19.64,12.77,0.58,0.43,0.66,0.72,0.79,100.00,0.21,0.28,4.21,39.00,17.00,5.00,18.00,48.00,31.00,1.50,30.12,19.65,100.00,0.40,0.00,0.00,0.00,"4 - Strengthen",0.30,0.94,0.94,804424.00,804424.00,34.20,34.20,462562.00,19.67,"Bharat - Covaxin,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/26/2021 0:00:00,6.00
