"iso_code","iso_code_2","continent","region","income_level","country","location","date","epi_cases_total","epi_cases_total_100k","epi_cases_last_7_days","epi_cases_last_7_days_100k","epi_cases_last_24_hours","epi_deaths_total","epi_deaths_total_100k","epi_deaths_last_7_days","epi_deaths_last_7_days_100k","epi_deaths_last_24_hours","owd_total_cases","owd_new_cases","owd_new_cases_smoothed","owd_total_deaths","owd_new_deaths","owd_new_deaths_smoothed","owd_total_cases_per_million","owd_new_cases_per_million","owd_new_cases_smoothed_per_million","owd_total_deaths_per_million","owd_new_deaths_per_million","owd_new_deaths_smoothed_per_million","owd_reproduction_rate","owd_icu_patients","owd_icu_patients_per_million","owd_hosp_patients","owd_hosp_patients_per_million","owd_weekly_icu_admissions","owd_weekly_icu_admissions_per_million","owd_weekly_hosp_admissions","owd_weekly_hosp_admissions_per_million","owd_new_tests","owd_total_tests","owd_total_tests_per_thousand","owd_new_tests_per_thousand","owd_new_tests_smoothed","owd_new_tests_smoothed_per_thousand","owd_positive_rate","owd_tests_per_case","owd_tests_units","owd_total_vaccinations","owd_people_vaccinated","owd_people_fully_vaccinated","owd_total_boosters","owd_new_vaccinations","owd_new_vaccinations_smoothed","owd_total_vaccinations_per_hundred","owd_people_vaccinated_per_hundred","owd_people_fully_vaccinated_per_hundred","owd_total_boosters_per_hundred","owd_new_vaccinations_smoothed_per_million","owd_stringency_index","owd_population","owd_population_density","owd_median_age","owd_aged_65_older","owd_aged_70_older","owd_gdp_per_capita","owd_extreme_poverty","owd_cardiovasc_death_rate","owd_diabetes_prevalence","owd_female_smokers","owd_male_smokers","owd_handwashing_facilities","owd_hospital_beds_per_thousand","owd_life_expectancy","owd_human_development_index","owd_excess_mortality_cumulative_absolute","owd_excess_mortality_cumulative","owd_excess_mortality","owd_excess_mortality_cumulative_per_million","imf_covidsurge","imf_procurement","imf_totalsupplies","imf_fullyvacc","imf_delivery_max","imf_delivery_avg","imf_target_delivery","imf_diagnostics","imf_genomic","imf_delta","imf_vaccdelivery_gap","imf_diagnostics_gap","imf_genomic_gap","imf_expectedcoverage","imf_procurement_bilateral","imf_procurement_donation","imf_procurement_covax","imf_procurement_other","imf_expectedcoverage_gap","imf_expectedcoverage_gap_doses","imf_vacc_atleastone","imf_total_admin","imf_ratio_admin","imf_target_delivery_70","imf_procurement_gap_70","imf_procurement_gap_doses_70","imf_amc92","imf_archetype","imf_fullyvacc_population","imf_total_delivery","imf_total_administered","ivb_total_vaccination","ivb_persons_vaccinated_1plus_dose","ivb_total_vaccinations_per100","ivb_persons_vaccinated_1plus_dose_per100","ivb_persons_fully_vaccinated","ivb_persons_fully_vaccinated_per100","ivb_vaccines_used","ivb_first_vaccine_date","ivb_number_vaccines_types_used"
"CAF","CF","Africa","AFRO","LIC","Central African Republic","Central African Republic",11/4/2021 0:00:00,11579.00,239.74,61.00,1.26,0.00,100.00,2.07,0.00,0.00,0.00,11579.00,0.00,8.71,100.00,0.00,0.00,2353.46,0.00,1.77,20.32,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4919987.00,7.47,18.30,3.65,2.25,661.24,,435.72,6.10,,,16.60,1.00,53.28,0.39,,,,,0.00,32.00,6.61,6.53,0.37,0.27,1.17,0.06,1.01,0.00,0.91,0.93,3.98,21.00,0.00,2.00,30.00,0.00,49.00,4.80,7.36,4.29,64.90,0.52,38.48,3.80,1.00,"2 - Connect",0.32,0.65,0.42,422182.00,361984.00,8.74,7.49,321668.00,6.66,"Bharat - Covaxin,SII - Covishield",3/19/2021 0:00:00,2.00
"CAN","CA","North America","AMRO","HIC","Canada","Canada",11/4/2021 0:00:00,1722570.00,4564.04,15686.00,41.56,2215.00,29095.00,77.08,214.00,0.56,39.00,1733440.00,2622.00,2239.71,29169.00,20.00,26.85,45535.46,68.87,58.83,766.23,0.52,0.70,,555.00,14.57,"1947","51.145",,,,,"102178","46580546","1223.617","2.684","83603","2.196","0.027","37.3","tests performed",58964890.00,29909571.00,28410160.00,645159.00,75826.00,63859.00,154.89,78.57,74.63,1.69,1678.00,"67.13",38067913.00,4.03,41.40,16.98,10.79,44017.59,0.50,105.59,7.37,12.00,16.60,,2.50,82.43,0.92,,,,,0.40,414.00,85.51,74.62,1.42,0.18,,2.14,10.19,98.09,,,,123.00,411.00,1.00,2.00,0.00,,,78.56,77.45,90.55,,0.00,0.00,0.00,"0 - High Income *",28.41,65.11,58.96,58511813.00,29797297.00,155.03,78.95,28185778.00,74.68,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",12/14/2020 0:00:00,5.00
"CHE","CH","Europe","EURO","HIC","Switzerland","Switzerland",11/4/2021 0:00:00,880869.00,10178.02,11075.00,127.96,2.00,10837.00,125.21,21.00,0.24,0.00,884597.00,2937.00,1965.71,11265.00,4.00,6.57,101497.05,336.98,225.54,1292.52,0.45,0.75,,104.00,11.93,"488","55.992",,,,,,,,,,,,,,,,,,,,,,,,,"46.3",8715494.00,214.24,43.10,18.43,12.64,57410.16,,99.73,5.59,22.60,28.90,,4.53,83.78,0.95,,,,,0.34,268.00,69.97,63.47,1.05,0.15,,2.68,8.93,99.69,,,,120.00,268.00,0.00,0.00,0.00,,,65.69,63.62,90.91,0.05,0.00,0.00,0.00,"0 - High Income *",5.53,12.19,11.08,10809806.00,5604427.00,124.90,65.12,5205379.00,60.48,"Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/23/2020 0:00:00,2.00
"CHL","CL","South America","AMRO","HIC","Chile","Chile",11/4/2021 0:00:00,1701316.00,8899.86,12862.00,67.28,1889.00,37794.00,197.70,75.00,0.39,4.00,1701316.00,1889.00,1837.42,37795.00,5.00,10.85,88553.19,98.32,95.63,1967.22,0.26,0.56,,,,,,,,,,"56485","23521852","1224.308","2.94","56948","2.964","0.032","31","tests performed",,,,,,,,,,,,,19212362.00,24.28,35.40,11.08,6.93,22767.03,1.30,127.99,8.46,34.20,41.50,,2.11,80.18,0.85,,,,,0.37,226.00,106.16,79.48,1.54,0.99,,2.96,0.80,88.69,,,4.19,123.00,223.00,0.00,3.00,0.00,,,86.05,97.27,91.62,,0.00,0.00,0.00,"0 - High Income *",15.27,40.79,37.37,35629347.00,16289028.00,186.38,85.21,15257343.00,79.81,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",12/21/2020 0:00:00,4.00
"CHN","CN","Asia","WPRO","UMC","China","China",11/4/2021 0:00:00,126471.00,8.59,661.00,0.04,87.00,5696.00,0.38,0.00,0.00,0.00,97682.00,78.00,86.14,4636.00,0.00,0.00,67.63,0.05,0.06,3.21,0.00,0.00,,,,,,,,,,,,,,,,,,,2302679000.00,,,,8859000.00,6442143.00,159.44,,,,4461.00,,1444216102.00,147.67,38.70,10.64,5.92,15308.71,0.70,261.89,9.74,1.90,48.40,,4.34,76.91,0.76,,,,,0.03,76.00,87.05,74.12,1.54,0.31,,,5.01,100.00,,,,102.00,10.00,0.00,0.00,66.00,,,76.22,79.72,91.56,,0.00,0.00,0.00,"0 - High Income *",1070.45,2514.66,2302.65,2272044058.00,1155058478.00,154.42,78.50,1014759580.00,68.97,"Anhui ZL - Recombinant,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,IMB - Inactivated,Pfizer BioNTech - Comirnaty,Shenzhen - LV-SMENP-DC,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",7/22/2020 0:00:00,8.00
"CIV","CI","Africa","AFRO","LMC","Côte d'Ivoire","Cote d'Ivoire",11/4/2021 0:00:00,61370.00,232.65,103.00,0.39,40.00,696.00,2.63,5.00,0.01,0.00,61370.00,40.00,14.71,696.00,0.00,0.71,2268.45,1.47,0.54,25.72,0.00,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27053629.00,76.39,18.70,2.93,1.58,3601.00,28.20,303.74,2.42,,,19.35,,57.78,0.53,,,,,0.14,63.00,13.13,3.40,0.21,0.10,1.22,0.07,0.37,,1.12,0.93,4.61,24.00,0.00,0.00,30.00,32.00,46.00,24.89,8.55,5.98,45.54,0.54,7.05,3.80,1.00,"2 - Connect",0.91,7.10,3.23,3232947.00,2314075.00,12.25,8.77,918872.00,3.48,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/1/2021 0:00:00,5.00
"CMR","CM","Africa","AFRO","LMC","Cameroon","Cameroon",11/4/2021 0:00:00,104348.00,393.08,1849.00,6.96,0.00,1731.00,6.52,45.00,0.17,0.00,104348.00,0.00,264.14,1731.00,0.00,6.42,3832.90,0.00,9.70,63.58,0.00,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27224262.00,50.88,18.80,3.16,1.91,3364.92,23.80,244.66,7.20,,,2.73,1.30,59.29,0.56,,,,,0.00,50.00,1.92,0.60,0.07,0.00,1.38,0.09,0.37,0.00,1.38,0.91,4.63,22.00,0.00,0.00,30.00,20.00,48.00,26.10,1.53,0.93,48.18,0.57,20.04,10.90,1.00,"3 - Leverage",0.16,1.05,0.50,503850.00,418185.00,1.89,1.57,163268.00,0.61,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",4/12/2021 0:00:00,4.00
"COD","CD","Africa","AFRO","LIC","Democratic Republic of the Congo","Democratic Republic of Congo",11/4/2021 0:00:00,57605.00,64.31,135.00,0.15,18.00,1098.00,1.22,7.00,8.0e-03,0.00,57587.00,5.00,16.71,1098.00,0.00,1.00,623.38,0.05,0.18,11.88,0.00,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92377986.00,35.87,17.00,3.02,1.74,808.13,77.10,318.94,6.10,,,4.47,,60.68,0.48,,,,,0.02,59.00,1.17,0.03,0.00,0.00,1.42,0.02,1.50,,1.42,0.98,3.49,24.00,0.00,0.00,30.00,29.00,46.00,85.00,0.11,0.08,6.78,0.58,10.99,20.30,1.00,"3 - Leverage",0.03,2.18,0.14,148684.00,112529.00,0.16,0.12,39351.00,0.04,"SII - Covishield",4/19/2021 0:00:00,1.00
"COG","CG","Africa","AFRO","LMC","Congo","Congo",11/4/2021 0:00:00,17944.00,325.18,621.00,11.25,0.00,297.00,5.38,39.00,0.70,0.00,17944.00,274.00,88.71,297.00,19.00,5.57,3171.99,48.43,15.68,52.50,3.35,0.98,,,,,,,,,,,,,,,,,,,509251.00,384530.00,124721.00,,,7088.00,9.00,6.80,2.20,,1253.00,,5657017.00,15.40,19.00,3.40,2.06,4881.40,37.00,344.09,7.20,1.70,52.30,47.96,,64.57,0.57,,,,,1.47,61.00,7.69,2.20,0.12,0.12,1.26,0.16,1.62,,1.13,0.83,3.36,22.00,11.00,4.00,30.00,17.00,48.00,5.40,6.80,4.50,58.52,0.55,8.99,1.00,1.00,"2 - Connect",0.12,0.87,0.50,269914.00,198302.00,4.89,3.59,112541.00,2.03,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,SII - Covishield",3/23/2021 0:00:00,4.00
"COL","CO","South America","AMRO","UMC","Colombia","Colombia",11/4/2021 0:00:00,5007099.00,9840.43,11405.00,22.41,1697.00,127380.00,250.34,221.00,0.43,32.00,5009007.00,1908.00,1651.85,127417.00,37.00,31.71,97706.52,37.21,32.22,2485.41,0.72,0.61,,,,,,,,,,"40883","26895508","524.628","0.797","36847","0.719","0.048","20.8","tests performed",,,,,,,,,,,,,51265841.00,44.22,32.20,7.64,4.31,13254.94,4.50,124.24,7.44,4.70,13.50,65.38,1.71,77.29,0.76,,,,,0.15,59.00,50.86,42.06,1.41,0.37,,0.86,0.14,66.69,,0.14,4.86,59.00,42.00,8.00,9.00,0.00,11.00,11.30,59.29,46.59,91.59,0.15,10.70,11.00,0.00,"4 - Strengthen",21.56,52.14,47.76,46222565.00,29346801.00,90.84,57.67,24729258.00,48.60,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/17/2021 0:00:00,5.00
"COM","KM","Africa","AFRO","LMC","Comoros","Comoros",11/4/2021 0:00:00,4300.00,494.48,61.00,7.01,19.00,147.00,16.90,0.00,0.00,0.00,4291.00,10.00,7.42,147.00,0.00,0.00,4829.72,11.25,8.36,165.45,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888456.00,437.35,20.40,2.96,1.72,1413.89,18.10,261.51,11.88,4.40,23.60,15.57,2.20,64.32,0.55,,,,,0.47,53.00,56.61,20.15,0.62,0.34,0.51,,0.14,,0.18,,4.86,45.00,17.00,6.00,30.00,0.00,25.00,0.40,30.78,25.47,44.97,0.37,17.49,0.30,1.00,"1 - Test",0.17,1.00,0.45,452612.00,273498.00,52.04,31.45,179114.00,20.59,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",4/10/2021 0:00:00,3.00
"CPV","CV","Africa","AFRO","LMC","Cabo Verde","Cape Verde",11/4/2021 0:00:00,38228.00,6875.70,47.00,8.45,9.00,349.00,62.77,0.00,0.00,0.00,38233.00,5.00,7.42,349.00,0.00,0.00,68042.23,8.89,13.22,621.10,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561901.00,135.58,25.70,4.46,3.43,6222.55,,182.21,2.42,2.10,16.50,,2.10,72.98,0.66,,,,,0.05,52.00,63.63,38.63,1.19,0.67,,0.62,0.10,,,0.37,4.90,62.00,18.00,4.00,30.00,0.00,8.00,0.10,52.25,45.53,71.54,0.20,17.74,0.20,1.00,"2 - Connect",0.21,0.71,0.51,511628.00,293634.00,92.02,52.81,217093.00,39.04,"Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",3/18/2021 0:00:00,4.00
"CRI","CR","North America","AMRO","UMC","Costa Rica","Costa Rica",11/4/2021 0:00:00,561432.00,11021.18,2778.00,54.53,378.00,7111.00,139.59,103.00,2.02,18.00,561829.00,397.00,368.42,7124.00,13.00,14.71,109325.39,77.25,71.69,1386.24,2.53,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5139053.00,96.07,33.60,9.46,5.69,15524.99,1.30,137.97,8.78,6.40,17.40,83.84,1.13,80.28,0.81,,,,,0.25,80.00,70.29,54.45,1.70,0.62,,1.60,0.25,100.00,,,4.73,79.00,68.00,6.00,6.00,0.00,,,72.98,63.90,90.91,0.05,0.00,0.00,0.00,"4 - Strengthen",2.79,7.22,6.56,6333040.00,3669812.00,124.32,72.04,2663228.00,52.28,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",12/24/2020 0:00:00,2.00
"CUB","CU","North America","AMRO","UMC","Cuba","Cuba",11/4/2021 0:00:00,954342.00,8425.65,4595.00,40.56,592.00,8252.00,72.85,33.00,0.29,2.00,954342.00,592.00,656.42,8252.00,2.00,4.71,84324.46,52.30,58.00,729.13,0.17,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11317498.00,110.40,43.10,14.73,9.71,,,190.96,8.27,17.10,53.30,85.19,5.20,78.80,0.78,,,,,5.42,88.00,125.72,65.13,2.83,0.55,,2.44,0.10,,,,4.88,123.00,18.00,0.00,0.00,70.00,,,88.22,114.60,91.15,,0.00,0.00,0.00,"3 - Leverage",7.37,28.45,25.93,25569841.00,9842563.00,225.75,86.89,7434059.00,65.63,"CIGB - CIGB-66,Finlay - Soberana Plus,Finlay - Soberana-02",,3.00
"CYP","CY","Europe","EURO","HIC","Cyprus","Cyprus",11/4/2021 0:00:00,125413.00,14123.00,1396.00,157.20,252.00,575.00,64.75,4.00,0.45,0.00,125161.00,188.00,179.00,576.00,0.00,0.57,139687.83,209.82,199.77,642.85,0.00,0.63,,,,,,,,,,"55507","15044426","16790.56","61.949","52221","58.282","0.003","291.7","tests performed",,,,,,,,,,,,,896005.00,127.65,37.30,13.41,8.56,32415.13,,141.17,9.24,19.60,52.70,,3.40,80.98,0.88,,,,,0.50,327.00,89.69,63.79,1.39,0.12,,54.76,0.11,0.00,,,4.88,121.00,0.00,8.00,0.00,319.00,,,67.63,68.12,75.94,0.03,0.00,0.00,0.00,"0 - High Income *",0.57,1.60,1.22,1172649.00,605276.00,132.10,68.16,567373.00,66.25,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/23/2020 0:00:00,4.00
"CZE","CZ","Europe","EURO","HIC","Czechia","Czechia",11/4/2021 0:00:00,1801154.00,16842.75,48968.00,457.90,8419.00,30938.00,289.30,207.00,1.93,27.00,1792707.00,9480.00,6429.42,30878.00,38.00,27.00,167159.13,883.95,599.50,2879.18,3.54,2.51,,,,,,,,,,"79596",,,"7.422","88886","8.288","0.079","12.7","tests performed",12433334.00,6291847.00,6119166.00,318362.00,46873.00,32676.00,115.93,58.67,57.06,2.97,3047.00,,10724553.00,137.17,43.30,19.02,11.58,32605.90,,227.48,6.82,30.50,38.30,,6.63,79.38,0.90,,,,,0.79,319.00,76.80,57.06,0.92,0.25,,8.50,0.67,,,,4.32,120.00,0.00,0.00,0.00,319.00,,,58.66,57.97,75.48,0.10,0.00,0.00,0.00,"0 - High Income *",6.11,16.47,12.43,12036092.00,6225722.00,112.60,58.21,5810370.00,56.92,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/23/2020 0:00:00,4.00
"DEU","DE","Europe","EURO","HIC","Germany","Germany",11/4/2021 0:00:00,4709488.00,5662.70,150368.00,180.80,37120.00,96346.00,115.84,740.00,0.89,154.00,4722102.00,37640.00,24051.14,96351.00,155.00,118.42,56282.18,448.62,286.66,1148.39,1.84,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38.43",83900471.00,237.01,46.60,21.45,15.95,45229.24,,156.13,8.31,28.20,33.10,,8.00,81.33,0.94,,,,,1.50,336.00,71.61,66.33,1.25,0.18,,1.36,5.17,100.00,,,,123.00,18.00,0.00,0.00,319.00,,,68.93,67.06,93.65,0.01,0.00,0.00,0.00,"0 - High Income *",55.65,120.16,112.52,109906183.00,57730378.00,132.20,69.41,52175805.00,66.71,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/23/2020 0:00:00,4.00
"DJI","DJ","Africa","EMRO","LMC","Djibouti","Djibouti",11/4/2021 0:00:00,13487.00,1365.08,15.00,1.51,0.00,183.00,18.52,2.00,0.20,0.00,13489.00,2.00,2.42,183.00,0.00,0.28,13459.43,1.99,2.42,182.59,0.00,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002197.00,41.28,25.40,4.21,2.38,2705.40,22.50,258.03,6.05,1.70,24.50,,1.40,67.11,0.52,,,,,0.01,45.00,23.70,2.59,0.07,0.05,1.25,0.36,2.26,,1.20,0.63,2.73,34.00,5.00,10.00,30.00,0.00,36.00,0.69,6.59,4.59,19.36,0.55,25.03,0.50,1.00,"2 - Connect",0.02,0.47,0.09,55882.00,18230.00,5.65,1.84,37652.00,3.81,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/15/2021 0:00:00,6.00
"DMA","DM","North America","AMRO","UMC","Dominica","Dominica",11/4/2021 0:00:00,4863.00,6755.01,172.00,238.91,0.00,32.00,44.45,1.00,1.38,0.00,4961.00,138.00,31.28,32.00,0.00,0.14,68738.56,1912.09,433.48,443.38,0.00,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72172.00,98.56,,,,9673.36,,227.37,11.62,,,,3.80,75.00,0.74,,,,,69.00,128.00,79.45,34.29,1.70,0.31,0.12,9.06,0.18,,,,4.80,190.00,0.00,98.00,30.00,0.00,,,38.50,36.41,45.81,0.28,0.00,0.00,1.00,"2 - Connect",0.02,0.11,0.05,52549.00,27793.00,72.99,38.60,24756.00,34.38,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",2/12/2021 0:00:00,4.00
"DNK","DK","Europe","EURO","HIC","Denmark","Denmark",11/4/2021 0:00:00,395797.00,6797.40,13001.00,223.27,2598.00,2722.00,46.74,13.00,0.22,5.00,399127.00,2720.00,1944.85,2727.00,6.00,2.28,68657.53,467.89,334.55,469.09,1.03,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24.07",5813302.00,136.52,42.30,19.67,12.32,46682.51,0.20,114.76,6.41,19.30,18.80,,2.50,80.90,0.94,,,,,1.02,319.00,79.22,75.97,1.62,0.03,,7.81,48.50,100.00,,,,122.00,0.00,0.00,0.00,319.00,,,77.16,76.17,96.15,,0.00,0.00,0.00,"0 - High Income *",4.41,9.21,8.85,8831760.00,4473507.00,151.70,76.82,4358253.00,75.63,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/16/2020 0:00:00,4.00
"DOM","DO","North America","AMRO","UMC","Dominican Republic","Dominican Republic",11/4/2021 0:00:00,385181.00,3550.73,5845.00,53.88,973.00,4146.00,38.21,22.00,0.20,2.00,385181.00,973.00,835.00,4146.00,2.00,3.14,35164.42,88.82,76.23,378.50,0.18,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10953714.00,222.87,27.60,6.98,4.41,14600.86,1.60,266.65,8.20,8.50,19.10,55.18,1.60,74.08,0.75,,,,,0.70,101.00,66.95,48.93,1.67,0.25,,0.36,0.09,0.00,,0.63,4.90,92.00,95.00,0.00,5.00,0.00,,,61.72,61.00,91.09,0.11,0.00,0.00,0.00,"3 - Leverage",5.35,14.66,13.36,13236577.00,6710320.00,122.02,61.85,5311756.00,48.96,"AstraZeneca - Vaxzevria,SII - Covishield,Sinovac - CoronaVac",2/16/2021 0:00:00,3.00
"DZA","DZ","Africa","AFRO","LMC","Algeria","Algeria",11/4/2021 0:00:00,206878.00,471.77,718.00,1.63,124.00,5936.00,13.53,29.00,0.06,5.00,206878.00,124.00,102.57,5936.00,5.00,4.14,4636.79,2.77,2.29,133.04,0.11,0.09,,18.00,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,44616626.00,17.34,29.10,6.21,3.85,13913.83,0.50,278.36,6.73,0.70,30.40,83.74,1.90,76.88,0.74,,,,,0.12,35.00,30.86,10.85,0.57,0.03,0.98,,0.03,0.00,0.93,,4.96,30.00,5.00,0.00,30.00,0.00,40.00,35.70,14.30,12.58,40.75,0.47,35.24,31.40,1.00,"2 - Connect",4.84,27.53,11.22,11224643.00,6381144.00,25.59,14.55,4843499.00,11.04,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,SII - Covishield,Sinovac - CoronaVac",1/30/2021 0:00:00,4.00
"ECU","EC","South America","AMRO","UMC","Ecuador","Ecuador",11/4/2021 0:00:00,515859.00,2923.86,0.00,0.00,0.00,32958.00,186.80,0.00,0.00,0.00,518274.00,2415.00,345.00,32983.00,25.00,3.57,28972.51,135.00,19.28,1843.81,1.39,0.20,,,,,,,,,,,"1917796","107.208",,"11290","0.631","0.031","32.7","people tested",,,,,,,,,,,,,17888474.00,66.93,28.10,7.10,4.45,10581.93,3.60,140.44,5.55,2.00,12.30,80.63,1.50,77.01,0.75,,,,,1.50,83.00,66.08,56.40,2.26,0.18,,0.13,0.46,0.00,,0.87,4.53,80.00,39.00,7.00,6.00,31.00,,,65.97,60.07,90.90,0.07,0.00,0.00,0.00,"4 - Strengthen",10.09,23.64,21.49,22347743.00,12458976.00,126.66,70.61,10657554.00,60.40,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",1/21/2021 0:00:00,4.00
"EGY","EG","Africa","EMRO","LMC","Egypt","Egypt",11/4/2021 0:00:00,333840.00,326.22,5631.00,5.50,0.00,18832.00,18.40,349.00,0.34,0.00,334751.00,911.00,934.57,18889.00,57.00,58.00,3210.78,8.73,8.96,181.17,0.54,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104258327.00,97.99,25.30,5.15,2.89,10550.20,1.30,525.43,17.31,0.20,50.10,89.82,1.60,71.99,0.70,,,,,0.62,103.00,12.18,10.64,0.43,0.40,0.92,0.01,0.31,,0.50,0.99,4.69,33.00,46.00,2.00,30.00,26.00,37.00,77.19,17.77,12.19,100.00,0.46,0.00,0.00,1.00,"4 - Strengthen",11.10,25.41,25.41,28934095.00,18526300.00,28.27,18.10,11102456.00,10.84,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",1/24/2021 0:00:00,6.00
"ERI","ER","Africa",,"LIC","Eritrea","Eritrea",11/4/2021 0:00:00,6910.00,194.84,104.00,2.93,29.00,45.00,1.26,0.00,0.00,0.00,6910.00,29.00,14.85,45.00,0.00,0.00,1918.66,8.05,4.12,12.49,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3601462.00,44.30,19.30,3.60,2.17,1510.45,,311.11,6.05,0.20,11.40,,0.70,66.32,0.45,,,,,1.15,30.00,0.00,,0.00,0.00,,,0.00,,,,5.00,0.00,0.00,0.00,30.00,0.00,70.00,5.00,,0.00,,,40.00,2.90,1.00,"1 - Test",,0.00,0.00,,,,,,,,,
"ESP","ES","Europe","EURO","HIC","Spain","Spain",11/4/2021 0:00:00,5022546.00,10611.17,12089.00,25.54,1786.00,87477.00,184.81,52.00,0.11,0.00,5022546.00,3291.00,1951.28,87477.00,15.00,22.14,107445.14,70.40,41.74,1871.35,0.32,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46745211.00,93.10,45.50,19.43,13.79,34272.36,1.00,99.40,7.17,27.40,31.40,,2.97,83.56,0.90,,,,,0.14,319.00,99.37,79.91,1.24,0.21,,1.64,1.47,99.59,,,3.52,121.00,0.00,0.00,0.00,319.00,,,81.44,77.45,77.93,,0.00,0.00,0.00,"0 - High Income *",37.35,92.91,72.40,70908227.00,38001487.00,149.80,80.28,32906740.00,73.69,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/30/2020 0:00:00,4.00
"EST","EE","Europe","EURO","HIC","Estonia","Estonia",11/4/2021 0:00:00,202629.00,15247.00,12428.00,935.15,1435.00,1581.00,118.96,79.00,5.94,7.00,201194.00,1943.00,1810.28,1574.00,11.00,11.85,151822.98,1466.20,1366.06,1187.75,8.30,8.94,,,,,,,,,,"7857","2189635","1652.32","5.929","8259","6.232","0.219","4.6","tests performed",,,,,,,,,,,,,1325188.00,31.03,42.70,19.45,13.49,29481.25,0.50,255.56,4.02,24.50,39.30,,4.69,78.74,0.89,,,,,3.72,319.00,70.22,57.74,0.87,0.20,,6.31,3.34,0.00,,,1.64,120.00,0.00,0.00,0.00,319.00,,,60.52,54.38,77.44,0.09,0.00,0.00,0.00,"0 - High Income *",0.76,1.86,1.44,1471700.00,790168.00,110.70,59.45,681532.00,56.03,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/23/2020 0:00:00,4.00
